customer_id,signup_date,state,city,gender,age,segment,acquisition_channel
C00001,2025-01-30,Jharkhand,CityA,F,43,Direct Buyer,Organic
C00002,2024-10-18,Uttar Pradesh,CityA,F,24,Direct Buyer,Organic
C00003,2024-10-20,Jharkhand,CityD,F,22,Reseller,Influencer
C00004,2023-09-02,Punjab,CityD,F,28,Reseller,Google Ads
C00005,2023-06-04,Jharkhand,CityB,M,31,Reseller,Referral
C00006,2024-02-19,Jammu & Kashmir,CityE,M,23,Direct Buyer,Organic
C00007,2023-11-06,Bihar,CityA,F,37,Direct Buyer,Organic
C00008,2024-01-02,Bihar,CityD,M,33,Reseller,Organic
C00009,2025-06-07,Gujarat,CityA,F,23,Reseller,Organic
C00010,2023-02-27,Tamil Nadu,CityB,M,25,Direct Buyer,Referral
C00011,2023-06-11,Kerala,CityB,M,18,Reseller,Google Ads
C00012,2023-02-22,Maharashtra,CityE,M,19,Reseller,Facebook Ads
C00013,2023-02-08,Karnataka,CityE,F,33,Reseller,Organic
C00014,2025-06-08,Maharashtra,CityB,F,23,Reseller,Referral
C00015,2023-12-18,West Bengal,CityD,F,44,Reseller,Influencer
C00016,2024-05-11,Assam,CityA,F,30,Direct Buyer,Facebook Ads
C00017,2025-06-18,West Bengal,CityC,F,19,Reseller,Facebook Ads
C00018,2024-12-21,Kerala,CityE,F,20,Direct Buyer,Influencer
C00019,2025-02-05,Odisha,CityC,F,38,Reseller,Google Ads
C00020,2024-06-25,Kerala,CityD,F,29,Direct Buyer,Organic
C00021,2023-09-06,Jharkhand,CityE,M,37,Direct Buyer,Organic
C00022,2024-11-28,Jammu & Kashmir,CityC,M,27,Direct Buyer,Influencer
C00023,2025-07-12,Haryana,CityD,M,25,Reseller,Referral
C00024,2023-07-15,Tamil Nadu,CityA,F,38,Reseller,Organic
C00025,2024-08-28,Telangana,CityD,M,23,Reseller,Referral
C00026,2024-01-06,Maharashtra,CityE,M,33,Direct Buyer,Facebook Ads
C00027,2024-12-08,Delhi,CityB,F,28,Reseller,Influencer
C00028,2024-12-20,Delhi,CityA,F,37,Direct Buyer,Organic
C00029,2025-01-25,Madhya Pradesh,CityC,M,44,Direct Buyer,Referral
C00030,2025-03-15,Delhi,CityE,F,26,Reseller,Google Ads
C00031,2024-11-16,Maharashtra,CityB,F,25,Direct Buyer,Organic
C00032,2024-12-10,Andhra Pradesh,CityD,F,35,Reseller,Organic
C00033,2024-10-08,Maharashtra,CityB,F,21,Reseller,Influencer
C00034,2023-05-07,Telangana,CityE,M,42,Reseller,Referral
C00035,2024-10-21,Haryana,CityE,M,41,Direct Buyer,Referral
C00036,2024-07-19,Assam,CityB,F,22,Reseller,Referral
C00037,2023-08-22,Gujarat,CityD,F,18,Direct Buyer,Organic
C00038,2023-02-09,Delhi,CityB,F,20,Reseller,Influencer
C00039,2024-06-01,Gujarat,CityE,F,20,Reseller,Organic
C00040,2025-03-04,Bihar,CityE,F,36,Direct Buyer,Organic
C00041,2023-07-14,Gujarat,CityC,M,42,Reseller,Organic
C00042,2024-08-26,Jharkhand,CityC,F,36,Reseller,Organic
C00043,2023-05-12,Delhi,CityA,F,28,Direct Buyer,Google Ads
C00044,2025-03-18,Rajasthan,CityE,M,32,Reseller,Google Ads
C00045,2023-06-06,Punjab,CityC,F,23,Reseller,Influencer
C00046,2025-04-30,Punjab,CityB,M,38,Reseller,Organic
C00047,2023-06-02,Uttar Pradesh,CityD,M,33,Reseller,Facebook Ads
C00048,2025-03-09,West Bengal,CityB,M,36,Direct Buyer,Referral
C00049,2024-03-12,West Bengal,CityD,F,24,Direct Buyer,Google Ads
C00050,2023-11-08,Rajasthan,CityC,F,28,Reseller,Facebook Ads
