order_item_id,order_id,product_id,vendor_id,quantity,unit_price,discount_pct,item_status
1,O000001,P00539,V0185,3,201.32,0.11,delivered
2,O000001,P00181,V0017,2,172.14,0.05,returned
3,O000001,P00790,V0020,2,255.71,0.04,returned
4,O000001,P00422,V0029,5,366.6,0.02,delivered
5,O000001,P00777,V0053,2,665.58,0.0,delivered
6,O000002,P00554,V0125,1,1326.3,0.0,delivered
7,O000002,P00472,V0025,3,394.56,0.26,delivered
8,O000002,P00471,V0191,2,1283.33,0.09,delivered
9,O000003,P00760,V0113,2,1097.25,0.15,delivered
10,O000003,P00637,V0057,2,989.14,0.11,delivered
11,O000003,P00309,V0078,2,428.03,0.11,delivered
12,O000004,P00565,V0018,2,738.11,0.1,delivered
13,O000004,P00045,V0199,4,1031.01,0.0,delivered
14,O000004,P00053,V0135,3,307.79,0.12,delivered
15,O000005,P00082,V0041,2,201.18,0.05,delivered
16,O000005,P00080,V0016,3,382.6,0.11,returned
17,O000006,P00163,V0136,2,261.36,0.13,delivered
18,O000006,P00047,V0002,2,156.66,0.06,delivered
19,O000006,P00655,V0160,1,1058.62,0.22,delivered
20,O000007,P00540,V0138,4,466.5,0.1,delivered
21,O000007,P00436,V0197,1,297.32,0.19,delivered
22,O000008,P00239,V0066,3,482.41,0.11,returned
23,O000008,P00607,V0042,2,261.38,0.19,delivered
24,O000008,P00689,V0010,1,141.72,0.0,returned
25,O000008,P00266,V0072,1,249.76,0.15,delivered
26,O000009,P00783,V0124,3,348.78,0.38,delivered
27,O000009,P00533,V0029,3,748.21,0.03,delivered
28,O000009,P00180,V0184,4,342.15,0.18,delivered
29,O000010,P00131,V0067,1,686.37,0.02,delivered
30,O000011,P00481,V0067,1,526.12,0.13,delivered
31,O000012,P00102,V0026,2,654.36,0.17,delivered
32,O000012,P00092,V0198,2,181.45,0.24,delivered
33,O000013,P00733,V0095,4,168.98,0.18,cancelled
34,O000013,P00176,V0078,3,678.66,0.0,cancelled
35,O000013,P00766,V0125,1,219.49,0.12,cancelled
36,O000013,P00616,V0059,3,563.67,0.21,cancelled
37,O000014,P00361,V0047,1,416.37,0.0,delivered
38,O000014,P00032,V0134,5,252.93,0.22,delivered
39,O000015,P00057,V0018,3,920.54,0.12,delivered
40,O000015,P00584,V0161,2,514.93,0.03,delivered
41,O000016,P00750,V0073,4,433.56,0.18,delivered
42,O000016,P00616,V0059,2,610.86,0.14,delivered
43,O000017,P00561,V0184,2,95.24,0.19,delivered
44,O000017,P00799,V0120,2,1089.85,0.03,delivered
45,O000018,P00292,V0031,1,153.42,0.05,delivered
46,O000018,P00595,V0021,3,724.89,0.13,delivered
47,O000018,P00476,V0073,2,232.18,0.17,delivered
48,O000018,P00449,V0113,1,1051.55,0.15,delivered
49,O000018,P00518,V0057,2,415.0,0.21,delivered
50,O000018,P00783,V0124,2,488.07,0.14,delivered
51,O000018,P00607,V0042,3,303.84,0.06,returned
52,O000019,P00357,V0137,3,528.91,0.18,delivered
53,O000019,P00015,V0019,2,549.37,0.18,delivered
54,O000020,P00170,V0075,2,408.88,0.09,delivered
55,O000020,P00265,V0118,2,222.57,0.12,delivered
56,O000020,P00747,V0023,1,457.61,0.14,delivered
57,O000021,P00066,V0196,3,777.08,0.18,returned
58,O000021,P00445,V0062,3,461.54,0.24,returned
59,O000022,P00573,V0173,3,218.67,0.01,delivered
60,O000022,P00549,V0009,1,1169.86,0.05,delivered
61,O000022,P00283,V0076,2,296.44,0.23,delivered
62,O000022,P00623,V0081,2,573.72,0.19,delivered
63,O000023,P00797,V0007,2,221.11,0.17,delivered
64,O000023,P00354,V0143,1,607.75,0.15,delivered
65,O000023,P00626,V0077,3,805.97,0.1,delivered
66,O000024,P00396,V0095,1,93.01,0.18,delivered
67,O000024,P00690,V0122,1,539.99,0.03,delivered
68,O000024,P00730,V0173,2,338.69,0.22,returned
69,O000025,P00559,V0149,1,319.32,0.17,cancelled
70,O000025,P00010,V0102,3,773.76,0.24,cancelled
71,O000026,P00524,V0129,1,296.36,0.22,returned
72,O000026,P00551,V0123,1,1033.19,0.1,returned
73,O000026,P00392,V0010,4,202.42,0.06,returned
74,O000027,P00247,V0131,3,248.79,0.09,delivered
75,O000027,P00165,V0071,2,228.29,0.08,delivered
76,O000027,P00333,V0123,2,764.16,0.06,delivered
77,O000027,P00271,V0103,3,660.31,0.06,returned
78,O000027,P00158,V0183,2,304.61,0.1,delivered
79,O000027,P00003,V0189,2,867.06,0.07,delivered
80,O000028,P00184,V0166,1,169.35,0.14,cancelled
81,O000028,P00435,V0148,3,372.55,0.01,cancelled
82,O000028,P00724,V0062,1,486.82,0.14,cancelled
83,O000029,P00136,V0060,2,553.75,0.14,returned
84,O000029,P00314,V0035,2,791.17,0.24,returned
85,O000029,P00573,V0173,1,205.27,0.07,returned
86,O000029,P00526,V0003,2,982.18,0.06,returned
87,O000030,P00567,V0013,3,520.39,0.0,delivered
88,O000030,P00726,V0109,1,201.45,0.18,delivered
89,O000030,P00360,V0100,4,240.09,0.43,delivered
90,O000030,P00167,V0054,5,589.7,0.28,delivered
91,O000030,P00735,V0057,2,519.38,0.12,delivered
92,O000030,P00304,V0024,2,1114.13,0.02,delivered
93,O000031,P00638,V0110,5,679.46,0.24,delivered
94,O000031,P00443,V0163,2,133.02,0.09,returned
95,O000032,P00686,V0165,2,620.05,0.02,delivered
96,O000032,P00693,V0095,3,975.69,0.18,delivered
97,O000032,P00131,V0067,2,588.66,0.16,delivered
98,O000033,P00740,V0094,4,1021.28,0.0,delivered
99,O000033,P00740,V0094,2,991.25,0.03,delivered
100,O000033,P00307,V0084,4,479.72,0.01,delivered
101,O000033,P00773,V0053,4,1164.04,0.0,delivered
102,O000033,P00189,V0169,2,193.9,0.15,delivered
103,O000034,P00420,V0143,2,1393.93,0.0,delivered
104,O000034,P00139,V0069,1,981.12,0.0,delivered
105,O000034,P00708,V0119,3,889.12,0.02,delivered
106,O000034,P00485,V0183,1,663.54,0.2,returned
107,O000035,P00611,V0050,5,478.91,0.14,delivered
108,O000035,P00634,V0179,2,539.59,0.1,delivered
109,O000035,P00119,V0131,2,264.97,0.15,delivered
110,O000036,P00101,V0118,2,509.6,0.13,delivered
111,O000037,P00061,V0033,3,359.72,0.07,delivered
112,O000037,P00243,V0146,4,194.79,0.06,delivered
113,O000037,P00394,V0058,2,938.56,0.12,delivered
114,O000037,P00758,V0012,2,364.19,0.07,delivered
115,O000037,P00573,V0173,1,183.36,0.17,delivered
116,O000037,P00712,V0008,2,343.86,0.23,delivered
