order_id,customer_id,order_date,ship_state,payment_method,device,coupon_applied,order_status,order_value
O000001,C00246,2025-04-18 17:04:08,Jharkhand,UPI,Android,0,delivered,4623.82
O000002,C00283,2024-07-18 10:27:35,Jammu & Kashmir,Card,Android,1,delivered,5076.64
O000003,C00614,2024-05-05 02:31:59,Bihar,UPI,Android,1,delivered,5028.84
O000004,C00931,2025-01-25 15:47:14,Odisha,UPI,Android,1,delivered,6523.63
O000005,C00806,2024-01-14 23:21:29,Telangana,COD,Android,1,delivered,1550.16
O000006,C00232,2024-04-23 01:13:04,Punjab,COD,Android,0,delivered,1894.66
O000007,C00316,2024-12-30 04:01:46,Uttar Pradesh,UPI,Android,0,delivered,2163.32
O000008,C00838,2024-03-11 05:47:55,Kerala,UPI,iOS,0,delivered,2361.47
O000009,C01824,2025-04-18 22:14:52,Haryana,UPI,Android,1,delivered,4659.57
O000010,C01360,2024-05-14 19:35:02,Telangana,NetBanking,iOS,1,delivered,686.37
O000011,C02000,2024-06-25 01:12:01,Maharashtra,COD,Android,1,delivered,526.12
O000012,C00411,2025-02-23 04:19:44,Delhi,Card,Android,0,delivered,1671.62
O000013,C00245,2024-10-22 13:48:15,Andhra Pradesh,UPI,Android,1,cancelled,4622.4
O000014,C00387,2024-02-09 04:12:03,Haryana,COD,Android,0,delivered,1681.02
O000015,C00689,2025-03-14 11:47:14,Assam,COD,Android,0,delivered,3791.48
O000016,C01749,2025-02-24 05:04:03,Telangana,UPI,Android,0,delivered,2955.96
O000017,C00358,2024-05-24 01:03:45,Rajasthan,COD,Android,0,delivered,2370.18
O000018,C01022,2025-03-05 13:14:56,Odisha,COD,Android,1,delivered,6561.66
O000019,C00614,2024-07-11 22:30:27,Bihar,COD,Android,1,delivered,2685.47
O000020,C00798,2024-12-06 02:43:40,Assam,COD,Android,0,delivered,1720.51
O000021,C00022,2025-06-26 17:55:28,Jammu & Kashmir,COD,Android,1,returned,3715.86
O000022,C00019,2025-06-12 00:54:25,Odisha,NetBanking,iOS,0,delivered,3566.19
O000023,C01311,2024-06-03 03:48:57,Jammu & Kashmir,Card,iOS,0,delivered,3467.88
O000024,C00276,2025-01-29 14:25:15,Karnataka,COD,Android,0,delivered,1310.38
O000025,C00659,2024-09-27 22:05:32,Punjab,UPI,Android,0,cancelled,2640.6
O000026,C00898,2024-05-13 07:08:58,Madhya Pradesh,Wallet,Web,0,returned,2139.23
O000027,C00552,2024-03-03 21:18:44,Gujarat,UPI,Android,0,delivered,7055.54
O000028,C00679,2024-11-23 03:14:36,Maharashtra,UPI,Android,1,cancelled,1773.82
O000029,C00603,2024-03-18 06:43:31,Assam,COD,Android,0,returned,4859.47
