order_id,payment_date,amount,method,success
O000001,2025-04-19 17:04:08,4623.82,UPI,1
O000002,2024-07-19 10:27:35,5076.64,Card,1
O000003,2024-05-06 02:31:59,5028.84,UPI,1
O000004,2025-01-26 15:47:14,6523.63,UPI,1
O000005,2024-01-15 23:21:29,1550.16,COD,1
O000006,2024-04-23 01:13:04,1894.66,COD,1
O000007,2024-12-30 04:01:46,2163.32,UPI,1
O000008,2024-03-12 05:47:55,2361.47,UPI,1
O000009,2025-04-19 22:14:52,4659.57,UPI,1
O000010,2024-05-14 19:35:02,686.37,NetBanking,1
O000011,2024-06-25 01:12:01,526.12,COD,1
O000012,2025-02-24 04:19:44,1671.62,Card,1
O000013,2024-10-22 13:48:15,4622.4,UPI,0
O000014,2024-02-10 04:12:03,1681.02,COD,1
O000015,2025-03-15 11:47:14,3791.48,COD,1
O000016,2025-02-24 05:04:03,2955.96,UPI,1
O000017,2024-05-25 01:03:45,2370.18,COD,1
O000018,2025-03-06 13:14:56,6561.66,COD,1
O000019,2024-07-11 22:30:27,2685.47,COD,1
O000020,2024-12-06 02:43:40,1720.51,COD,1
O000021,2025-06-26 17:55:28,3715.86,COD,1
O000022,2025-06-13 00:54:25,3566.19,NetBanking,1
O000023,2024-06-04 03:48:57,3467.88,Card,1
O000024,2025-01-29 14:25:15,1310.38,COD,1
O000025,2024-09-28 22:05:32,2640.6,UPI,0
O000026,2024-05-13 07:08:58,2139.23,Wallet,1
O000027,2024-03-04 21:18:44,7055.54,UPI,1
O000028,2024-11-23 03:14:36,1773.82,UPI,0
O000029,2024-03-18 06:43:31,4859.47,COD,1
O000030,2025-05-19 03:59:00,8938.5,COD,1
O000031,2025-06-29 11:48:40,3663.34,NetBanking,1
O000032,2024-10-25 08:00:33,5344.49,Card,1
O000033,2024-07-01 15:53:47,13030.46,NetBanking,1
O000034,2024-09-18 07:15:39,7099.88,Card,1
O000035,2024-08-05 15:06:09,4003.67,COD,1
O000036,2025-06-12 07:34:29,1019.2,UPI,1
O000037,2025-01-05 23:06:58,5334.9,COD,1
O000038,2025-04-26 04:07:52,5136.98,COD,1
O000039,2024-06-16 12:17:20,1680.87,COD,1
O000040,2024-09-12 08:03:23,5935.52,COD,1
O000041,2025-04-15 09:46:42,3167.14,NetBanking,1
O000042,2024-12-07 11:41:59,5825.21,UPI,1
O000043,2025-02-11 11:15:59,6124.66,UPI,1
O000044,2024-04-21 21:13:07,5767.27,COD,1
O000045,2025-05-17 14:55:51,3216.79,Card,1
O000046,2025-07-18 20:55:53,4929.53,UPI,1
O000047,2024-01-22 18:11:19,5092.76,Card,1
O000048,2025-04-25 02:54:23,9170.92,Card,1
O000049,2025-01-23 04:26:07,5056.43,UPI,1
O000050,2025-01-17 21:54:08,5926.62,Card,1
O000051,2024-04-18 15:21:38,5462.69,UPI,1
O000052,2024-05-31 10:24:00,1628.76,COD,1
O000053,2024-08-19 21:57:05,4812.65,UPI,1
O000054,2024-09-13 04:22:26,7798.67,Card,0
O000055,2024-09-19 01:56:12,2829.62,COD,1
O000056,2025-02-21 13:54:22,3407.97,UPI,1
O000057,2025-07-08 11:38:34,3528.46,COD,1
O000058,2024-04-28 12:20:11,1417.66,UPI,1
O000059,2024-07-11 08:32:36,1656.2,COD,1
O000060,2025-05-26 08:32:20,1941.65,Card,1
O000061,2025-05-15 20:04:57,4849.09,UPI,1
O000062,2025-02-25 14:47:50,7826.83,COD,1
O000063,2024-11-10 03:33:12,4135.0,UPI,1
O000064,2024-01-19 18:20:18,2691.46,NetBanking,1
O000065,2024-09-26 10:59:29,2216.62,UPI,1
O000066,2024-12-03 06:32:48,1691.51,UPI,1
O000067,2025-07-16 21:09:50,11381.47,NetBanking,1
O000068,2024-09-19 20:06:23,843.98,UPI,1
O000069,2024-08-31 20:12:31,3661.23,COD,1
O000070,2025-01-24 02:06:17,1000.5,NetBanking,1
O000071,2025-04-16 07:51:49,2499.86,UPI,1
O000072,2024-07-10 00:00:44,5801.67,UPI,1
O000073,2025-07-30 23:02:58,5019.12,UPI,1
O000074,2024-01-20 01:35:06,1753.46,COD,1
O000075,2025-04-17 12:45:21,2391.62,UPI,1
O000076,2024-06-28 20:47:13,6074.83,COD,1
O000077,2024-09-09 14:27:15,4125.37,UPI,1
O000078,2024-10-12 12:03:28,1846.69,UPI,1
O000079,2024-09-13 12:02:13,3264.91,UPI,1
O000080,2024-04-10 16:17:14,6655.08,UPI,1
O000081,2024-12-04 08:32:04,6761.04,UPI,1
O000082,2025-07-13 09:15:37,2669.66,UPI,1
O000083,2024-05-27 04:45:44,2272.72,Wallet,1
O000084,2024-05-01 14:04:01,5182.65,UPI,1
O000085,2025-03-06 19:17:12,805.29,Card,0
O000086,2025-02-15 05:34:16,2354.55,COD,1
O000087,2024-07-24 14:06:01,2153.8,UPI,1
O000088,2024-08-14 15:59:36,1705.01,Card,1
O000089,2025-07-04 23:01:35,2632.9,COD,1
O000090,2024-11-02 10:43:21,4574.26,COD,1
O000091,2025-02-20 23:44:35,2493.91,UPI,1
O000092,2024-07-05 10:03:00,5152.49,UPI,1
O000093,2025-01-03 02:27:03,3197.23,COD,1
O000094,2025-06-29 04:43:57,1849.44,UPI,1
O000095,2025-01-01 16:08:32,4638.67,COD,1
O000096,2024-07-08 08:32:15,2555.02,COD,1
O000097,2025-01-13 15:39:05,3498.9,UPI,0
O000098,2025-04-11 13:33:36,3757.72,NetBanking,1
O000099,2024-05-10 06:26:49,1753.14,UPI,1
O000100,2024-05-25 01:24:21,11080.76,UPI,1
O000101,2025-01-28 07:18:12,3239.34,Card,1
O000102,2025-04-04 07:23:52,6573.07,UPI,1
O000103,2024-07-02 15:29:08,4394.78,NetBanking,1
O000104,2025-04-05 08:21:59,5682.79,COD,1
O000105,2024-08-14 03:47:03,4052.18,COD,1
O000106,2024-01-08 01:59:32,3704.69,COD,1
O000107,2024-12-26 23:37:27,3366.39,UPI,1
O000108,2024-11-19 19:22:22,5218.36,COD,1
O000109,2024-11-09 04:06:31,5019.76,Card,1
O000110,2024-08-18 14:15:32,1909.05,UPI,1
O000111,2025-06-27 01:47:48,1923.92,UPI,1
O000112,2024-01-25 15:56:35,11166.2,COD,1
O000113,2025-01-11 09:24:49,6557.67,UPI,1
O000114,2024-07-28 18:29:41,2174.64,COD,0
O000115,2025-02-21 21:43:42,889.79,COD,1
O000116,2024-05-17 01:34:56,4125.53,UPI,1
O000117,2025-04-05 22:48:38,2866.52,COD,1
O000118,2024-09-17 13:11:50,2386.18,UPI,1
O000119,2024-10-16 16:14:47,4135.42,UPI,0
