order_id,review_date,rating
O000005,2024-01-25,4.0
O000006,2024-04-26,4.0
O000007,2024-12-31,3.0
O000008,2024-03-19,5.0
O000009,2025-04-21,5.0
O000010,2024-05-27,4.0
O000015,2025-03-26,4.0
O000017,2024-06-06,5.0
O000027,2024-03-07,4.0
O000033,2024-07-03,4.0
O000038,2025-04-29,5.0
O000041,2025-04-26,4.0
O000044,2024-05-04,5.0
O000046,2025-07-27,5.0
O000047,2024-02-01,4.0
O000050,2025-01-19,5.0
O000051,2024-04-22,4.0
O000056,2025-03-04,4.0
O000059,2024-07-12,5.0
O000060,2025-06-04,4.0
O000070,2025-02-06,3.0
O000073,2025-08-08,5.0
O000075,2025-04-26,3.0
O000078,2024-10-16,2.0
O000080,2024-04-17,5.0
O000084,2024-05-06,5.0
O000089,2025-07-17,2.0
O000091,2025-02-21,4.0
O000093,2025-01-09,4.0
O000094,2025-07-02,3.0
O000095,2025-01-11,5.0
O000096,2024-07-09,5.0
O000099,2024-05-11,5.0
O000101,2025-02-04,4.0
O000102,2025-04-06,3.0
O000103,2024-07-13,4.0
O000104,2025-04-09,4.0
O000115,2025-03-04,4.0
O000117,2025-04-14,4.0
O000118,2024-09-22,4.0
O000120,2024-01-23,4.0
O000121,2025-05-30,5.0
O000129,2024-05-10,4.0
O000131,2024-08-22,4.0
O000132,2024-08-17,4.0
O000137,2024-06-03,3.0
O000139,2025-04-14,4.0
O000140,2024-01-18,5.0
O000141,2024-09-24,3.0
O000143,2025-05-18,4.0
O000145,2025-02-09,4.0
O000146,2024-05-05,4.0
O000152,2025-05-09,3.0
O000153,2025-07-28,2.0
O000156,2024-02-24,5.0
O000157,2024-03-29,4.0
O000159,2024-06-06,4.0
O000162,2025-07-24,3.0
O000164,2025-06-02,2.0
O000165,2024-02-09,5.0
O000168,2025-05-05,4.0
O000169,2024-02-27,4.0
O000173,2025-06-01,4.0
O000175,2024-11-20,3.0
O000177,2024-04-19,4.0
O000180,2024-10-23,4.0
O000193,2025-02-19,5.0
O000194,2024-12-16,3.0
O000195,2025-04-20,4.0
O000197,2024-09-11,3.0
O000201,2024-03-03,4.0
O000203,2024-04-12,5.0
O000204,2024-12-12,5.0
O000206,2024-05-22,3.0
O000208,2024-06-13,4.0
O000212,2024-04-26,3.0
O000213,2024-02-09,4.0
O000217,2025-04-17,4.0
O000218,2025-08-04,4.0
O000224,2024-01-11,4.0
O000225,2025-05-02,4.0
O000226,2025-05-03,3.0
O000230,2024-02-03,3.0
O000232,2025-02-12,4.0
O000239,2024-09-05,5.0
O000240,2024-11-09,4.0
O000241,2025-05-11,3.0
O000242,2024-09-28,4.0
O000243,2024-02-27,4.0
O000248,2024-02-17,5.0
O000252,2024-04-13,4.0
O000253,2025-07-30,4.0
O000256,2024-10-16,4.0
O000258,2024-02-16,5.0
O000263,2024-08-21,4.0
O000264,2024-02-16,5.0
O000265,2025-02-25,4.0
O000266,2025-05-02,5.0
O000267,2025-07-09,3.0
O000268,2025-02-03,4.0
O000270,2024-07-08,4.0
O000271,2024-06-14,5.0
O000273,2024-08-31,3.0
O000275,2025-06-25,5.0
O000278,2024-11-10,5.0
O000280,2024-06-07,5.0
O000281,2025-04-26,4.0
O000285,2025-01-29,3.0
O000286,2024-01-29,5.0
O000287,2024-08-21,5.0
O000290,2024-11-30,4.0
O000291,2025-06-01,5.0
O000294,2024-02-28,5.0
O000295,2025-05-01,3.0
O000296,2025-01-17,4.0
O000301,2024-12-30,3.0
O000302,2024-06-27,4.0
O000304,2025-05-13,4.0
O000306,2025-01-23,4.0
O000316,2024-11-20,4.0
O000317,2024-05-11,3.0
O000320,2025-07-24,5.0
O000329,2025-06-08,3.0
O000339,2024-07-16,4.0
O000340,2024-05-27,3.0
O000346,2025-02-13,4.0
O000347,2024-11-19,5.0
O000348,2025-06-30,4.0
O000350,2025-05-28,4.0
O000360,2024-08-25,4.0
O000361,2024-04-02,4.0
O000366,2024-01-17,3.0
O000368,2024-11-13,4.0
O000371,2024-11-03,3.0
O000372,2024-08-27,5.0
O000373,2024-01-22,3.0
O000374,2025-05-07,4.0
O000389,2024-02-10,3.0
O000390,2025-04-23,5.0
O000393,2024-07-29,4.0
O000396,2024-04-10,5.0
O000402,2024-04-02,4.0
O000405,2024-08-27,4.0
O000408,2024-03-01,4.0
O000409,2024-10-08,3.0
O000410,2024-09-03,4.0
O000414,2024-05-15,3.0
O000416,2024-02-21,5.0
O000417,2025-07-20,3.0
O000420,2024-01-31,5.0
O000422,2025-04-30,4.0
O000426,2024-11-05,5.0
O000429,2024-02-27,4.0
O000435,2024-09-08,3.0
O000437,2024-12-22,3.0
O000439,2025-07-10,5.0
O000442,2025-05-31,5.0
O000444,2025-08-07,5.0
O000452,2025-02-17,4.0
O000453,2025-03-18,3.0
O000454,2024-04-07,4.0
O000455,2025-04-11,4.0
O000459,2024-03-18,5.0
O000461,2025-05-18,4.0
O000462,2024-06-07,3.0
O000463,2024-12-10,4.0
O000465,2025-06-18,5.0
O000471,2025-05-14,4.0
O000472,2025-07-13,3.0
O000476,2024-06-14,2.0
O000481,2024-07-13,4.0
O000484,2024-12-12,5.0
O000487,2024-03-26,4.0
O000488,2024-03-11,3.0
O000491,2025-07-17,4.0
O000492,2024-02-04,3.0
O000498,2024-06-25,5.0
O000499,2024-04-03,4.0
O000500,2024-09-18,3.0
O000501,2024-09-01,5.0
O000505,2025-04-02,3.0
O000508,2024-06-12,5.0
O000511,2025-06-30,4.0
O000514,2024-02-27,3.0
O000516,2025-03-03,5.0
O000518,2025-02-04,5.0
O000521,2025-01-07,5.0
O000523,2024-05-23,4.0
O000525,2024-01-30,4.0
O000531,2024-12-18,3.0
O000532,2024-09-05,4.0
O000536,2025-02-19,4.0
O000538,2024-10-01,5.0
O000539,2025-05-14,4.0
O000542,2024-03-25,4.0
O000543,2024-12-08,4.0
O000544,2024-07-27,4.0
O000551,2025-07-01,5.0
O000553,2025-06-22,5.0
O000559,2024-11-19,5.0
O000561,2024-08-17,4.0
O000565,2024-03-15,5.0
O000567,2025-04-26,3.0
O000568,2024-04-07,4.0
O000570,2025-05-20,5.0
O000572,2024-03-05,4.0
O000575,2024-08-01,4.0
O000581,2024-08-05,4.0
O000585,2025-04-24,2.0
O000586,2024-09-20,5.0
O000595,2025-07-23,4.0
O000596,2025-01-07,3.0
O000598,2025-03-21,4.0
O000607,2024-08-23,5.0
O000609,2024-07-26,3.0
O000612,2024-12-13,3.0
O000616,2024-09-22,4.0
O000617,2024-08-07,3.0
O000622,2025-06-23,5.0
O000627,2024-04-18,5.0
O000630,2024-11-27,5.0
O000636,2025-02-04,4.0
O000637,2025-05-25,4.0
O000638,2025-02-01,3.0
O000642,2025-03-08,4.0
O000643,2024-11-29,5.0
O000646,2025-02-13,3.0
O000649,2024-02-10,4.0
O000654,2025-04-22,4.0
O000655,2024-02-22,4.0
O000657,2025-07-23,5.0
O000665,2024-08-23,4.0
O000668,2024-12-19,4.0
O000675,2025-02-26,3.0
O000676,2024-10-18,5.0
O000681,2024-08-05,4.0
O000684,2025-05-30,4.0
O000685,2025-06-06,4.0
O000691,2024-10-23,5.0
O000694,2024-12-07,5.0
O000698,2024-02-14,3.0
O000700,2024-02-08,4.0
O000701,2024-06-10,4.0
O000702,2025-02-14,4.0
